##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
324,82608	30,50399	86,43068	20	20
325,34008	30,5545	86,38544	20	20
325,84236	30,605	86,32995	20	20
326,35387	30,6555	86,28449	20	20
326,86099	30,70601	86,2351	20	20
327,3645	30,75651	86,18073	20	20
327,87484	30,80701	86,13029	20	20
328,38397	30,85752	86,07096	20	20
328,8847	30,90802	86,01986	20	20
329,38452	30,95852	85,96905	20	20
329,89432	31,00903	85,91945	20	20
330,39216	31,05953	85,85413	20	20
330,89929	31,11003	85,8035	20	20
331,39637	31,16054	85,7461	20	20
331,89547	31,21104	85,70131	20	20
332,39868	31,26154	85,64488	20	20
332,90824	31,31205	85,59447	20	20
333,41731	31,36255	85,54518	20	20
333,89156	31,41305	85,4936	20	20
334,40464	31,46356	85,43603	20	20
334,90777	31,51406	85,392	20	20
335,40578	31,56456	85,33498	20	20
335,90805	31,61507	85,28417	20	20
336,41363	31,66557	85,23901	20	20
336,91896	31,71607	85,18516	20	20
337,42117	31,76658	85,1233	20	20
337,92194	31,81708	85,06518	20	20
338,43661	31,86758	85,01115	20	20
338,93926	31,91809	84,952	20	20
339,44174	31,96859	84,88485	20	20
339,94732	32,01909	84,82905	20	20
340,45487	32,0696	84,77145	20	20
340,953	32,1201	84,71345	20	20
341,46989	32,1706	84,65727	20	20
341,97103	32,22111	84,59917	20	20
342,46937	32,27161	84,54251	20	20
342,9779	32,32211	84,48005	20	20
343,47438	32,37262	84,40768	20	20
343,98437	32,42312	84,35217	20	20
344,49606	32,47362	84,28289	20	20
344,99104	32,52413	84,22107	20	20
345,49874	32,57463	84,15307	20	20
346,00083	32,62513	84,09221	20	20
346,49729	32,67564	84,03357	20	20
347,00437	32,72614	83,97618	20	20
347,50853	32,77664	83,92218	20	20
348,02746	32,82714	83,85828	20	20
348,51674	32,87765	83,80309	20	20
349,01692	32,92815	83,7431	20	20
349,51997	32,97865	83,68107	20	20
350,01989	33,02916	83,62071	20	20
350,52651	33,07966	83,55363	20	20
351,01473	33,13016	83,49477	20	20
351,53229	33,18067	83,4329	20	20
352,03758	33,23117	83,35802	20	20
352,53848	33,28167	83,28412	20	20
353,03631	33,33218	83,21231	20	20
353,54394	33,38268	83,14888	20	20
354,037	33,43318	83,06828	20	20
354,53866	33,48369	82,9957	20	20
355,04767	33,53419	82,91792	20	20
355,53836	33,58469	82,8417	20	20
356,05405	33,6352	82,77372	20	20
356,54677	33,6857	82,71081	20	20
357,04721	33,7362	82,64185	20	20
357,56178	33,78671	82,57031	20	20
358,05065	33,83721	82,49954	20	20
358,56812	33,88771	82,43252	20	20
